loincId	loincScale	reason	Qn	Unspecified Specimen
1752-5	Qn	Quality control parameter
22721-5	Qn	Unspecified Specimen
61038-6	Qn	Unspecified Specimen
43859-8	Qn	Unspecified Specimen
49012-8	Qn	Unspecified Specimen
20610-2	Qn	Unspecified Specimen
30915-3	Qn	Unspecified Specimen
35674-1	Qn	Unspecified Specimen
34617-1	Qn	Unspecified Specimen
6333-9	Qn	Unspecified Specimen
22986-4	Qn	Unspecified Specimen
24041-6	Qn	Unspecified Specimen
87462-8	Qn	Unspecified Specimen
51129-5	Qn	Unspecified Specimen
86405-8	Qn	Unspecified Specimen
23908-7	Qn	Unspecified Specimen
53503-9	Qn	Unspecified Specimen
85745-8	Qn	Unspecified Specimen
19153-6	Qn	Unspecified Specimen
25236-1	Qn	Unspecified Specimen
87600-3	Qn	Unspecified Specimen
74386-4	Qn	Unspecified Specimen
39103-7	Qn	Unspecified Specimen
57866-6	Qn	Unspecified Specimen
660-1	Qn	Unspecified Specimen
29721-8	Qn	Unspecified Specimen
32763-5	Qn	Unspecified Specimen
35937-2	Qn	Unspecified Specimen
22720-7	Qn	Unspecified Specimen
61037-8	Qn	Unspecified Specimen
6604-3	Qn	Unspecified Specimen
31838-6	Qn	Unspecified Specimen
20609-4	Qn	Unspecified Specimen
35673-3	Qn	Unspecified Specimen
31971-5	Qn	Unspecified Specimen
68963-8	Qn	Unspecified Specimen
6341-2	Qn	Unspecified Specimen
77948-8	Qn	Unspecified Specimen
32102-6	Qn	Unspecified Specimen
34486-1	Qn	Unspecified Specimen
73983-9	Qn	Unspecified Specimen
55095-4	Qn	Unspecified Specimen
86406-6	Qn	Unspecified Specimen
87463-6	Qn	Unspecified Specimen
25235-3	Qn	Unspecified Specimen
5021-1	Qn	Unspecified Specimen
85746-6	Qn	Unspecified Specimen
66718-8	Qn	Unspecified Specimen
87594-8	Qn	Unspecified Specimen
87601-1	Qn	Unspecified Specimen
23115-9	Qn	Unspecified Specimen
49672-9	Qn	Unspecified Specimen
39102-9	Qn	Unspecified Specimen
32629-8	Qn	Unspecified Specimen
57865-8	Qn	Unspecified Specimen
659-3	Qn	Unspecified Specimen
33685-9	Qn	Unspecified Specimen
44264-0	Qn	Unspecified Specimen
32762-7	Qn	Unspecified Specimen
81648-8	Qn	Unspecified Specimen
32761-9	Qn	Unspecified Specimen
20608-6	Qn	Unspecified Specimen
44790-4	Qn	Unspecified Specimen
22719-9	Qn	Unspecified Specimen
22728-0	Qn	Unspecified Specimen
57873-2	Qn	Unspecified Specimen
30914-6	Qn	Unspecified Specimen
33034-0	Qn	Unspecified Specimen
87469-3	Qn	Unspecified Specimen
34485-3	Qn	Unspecified Specimen
41623-0	Qn	Unspecified Specimen
51136-0	Qn	Unspecified Specimen
6340-4	Qn	Unspecified Specimen
32101-8	Qn	Unspecified Specimen
61178-0	Qn	Unspecified Specimen
87336-4	Qn	Unspecified Specimen
11491-6	Qn	Unspecified Specimen
18755-9	Qn	Unspecified Specimen
62365-2	Qn	Unspecified Specimen
5020-3	Qn	Unspecified Specimen
43472-0	Qn	Unspecified Specimen
32498-8	Qn	Unspecified Specimen
38055-0	Qn	Unspecified Specimen
31574-7	Qn	Unspecified Specimen
658-5	Qn	Unspecified Specimen
44263-2	Qn	Unspecified Specimen
33694-1	Qn	Unspecified Specimen
85753-2	Qn	Unspecified Specimen
30650-6	Qn	Unspecified Specimen
42809-4	Qn	Unspecified Specimen
17576-0	Qn	Unspecified Specimen
22727-2	Qn	Unspecified Specimen
20607-8	Qn	Unspecified Specimen
35671-7	Qn	Unspecified Specimen
53774-6	Qn	Unspecified Specimen
68970-3	Qn	Unspecified Specimen
30913-8	Qn	Unspecified Specimen
57872-4	Qn	Unspecified Specimen
51663-3	Qn	Unspecified Specimen
31969-9	Qn	Unspecified Specimen
33033-2	Qn	Unspecified Specimen
41622-2	Qn	Unspecified Specimen
87470-1	Qn	Unspecified Specimen
55101-0	Qn	Unspecified Specimen
30122-6	Qn	Unspecified Specimen
60254-0	Qn	Unspecified Specimen
25234-6	Qn	Unspecified Specimen
5019-5	Qn	Unspecified Specimen
53379-4	Qn	Unspecified Specimen
21003-9	Qn	Unspecified Specimen
43471-2	Qn	Unspecified Specimen
59587-6	Qn	Unspecified Specimen
22992-2	Qn	Unspecified Specimen
47568-1	Qn	Unspecified Specimen
50607-1	Qn	Unspecified Specimen
51664-1	Qn	Unspecified Specimen
9777-4	Qn	Unspecified Specimen
657-7	Qn	Unspecified Specimen
85754-0	Qn	Unspecified Specimen
20615-1	Qn	Unspecified Specimen
9512-5	Qn	Unspecified Specimen
23650-5	Qn	Unspecified Specimen
26561-1	Qn	Unspecified Specimen
22464-2	Qn	Unspecified Specimen
61044-4	Qn	Unspecified Specimen
40699-1	Qn	Unspecified Specimen
57871-6	Qn	Unspecified Specimen
74787-3	Qn	Unspecified Specimen
30921-1	Qn	Unspecified Specimen
31977-2	Qn	Unspecified Specimen
55100-2	Qn	Unspecified Specimen
69767-2	Qn	Unspecified Specimen
85356-4	Qn	Unspecified Specimen
43469-6	Qn	Unspecified Specimen
41621-4	Qn	Unspecified Specimen
56024-3	Qn	Unspecified Specimen
9382-3	Qn	Unspecified Specimen
22726-4	Qn	Unspecified Specimen
32108-3	Qn	Unspecified Specimen
54036-9	Qn	Unspecified Specimen
62364-5	Qn	Unspecified Specimen
60253-2	Qn	Unspecified Specimen
5018-7	Qn	Unspecified Specimen
81653-8	Qn	Unspecified Specimen
25233-8	Qn	Unspecified Specimen
87598-9	Qn	Unspecified Specimen
87605-2	Qn	Unspecified Specimen
22991-4	Qn	Unspecified Specimen
70294-4	Qn	Unspecified Specimen
11102-1	Qn	Unspecified Specimen
43337-5	Qn	Unspecified Specimen
87466-9	Qn	Unspecified Specimen
87475-0	Qn	Unspecified Specimen
31449-2	Qn	Unspecified Specimen
656-9	Qn	Unspecified Specimen
665-0	Qn	Unspecified Specimen
23387-4	Qn	Unspecified Specimen
85751-6	Qn	Unspecified Specimen
6609-2	Qn	Unspecified Specimen
33691-7	Qn	Unspecified Specimen
57870-8	Qn	Unspecified Specimen
35678-2	Qn	Unspecified Specimen
44796-1	Qn	Unspecified Specimen
23649-7	Qn	Unspecified Specimen
26560-3	Qn	Unspecified Specimen
34622-1	Qn	Unspecified Specimen
61043-6	Qn	Unspecified Specimen
40698-3	Qn	Unspecified Specimen
49025-0	Qn	Unspecified Specimen
30920-3	Qn	Unspecified Specimen
43468-8	Qn	Unspecified Specimen
87468-5	Qn	Unspecified Specimen
31976-4	Qn	Unspecified Specimen
85357-2	Qn	Unspecified Specimen
22725-6	Qn	Unspecified Specimen
5026-0	Qn	Unspecified Specimen
87335-6	Qn	Unspecified Specimen
32107-5	Qn	Unspecified Specimen
56023-5	Qn	Unspecified Specimen
63426-1	Qn	Unspecified Specimen
87599-7	Qn	Unspecified Specimen
87606-0	Qn	Unspecified Specimen
